id,docking_score
16745370,-13.32
16196658,-12.5306
24792586,-12.3009
16196628,-12.249
6903962,-12.0375
441243,-11.8693
16745342,-11.8434
16745362,-11.7659
9549804,-11.7573
4670108,-11.7143
16196477,-11.6628
9549173,-11.5881
16403714,-11.5758
25161404,-11.5664
16129550,-11.5356
24792616,-11.4414
12004646,-11.4166
24818225,-11.4076
16746541,-11.2775
6899447,-11.2707
1136282,-11.2641
24793392,-11.2508
659301,-11.231
16195830,-11.2234
135473459,-11.2017
24816489,-11.1683
1553782,-11.156
2491580,-11.151
16129561,-11.116
2473906,-11.1073
20970622,-11.1032
3493951,-11.0886
2841332,-11.0351
3103064,-11.0157
2894008,-10.9886
3762945,-10.9304
135519916,-10.8846
23723167,-10.8761
9549587,-10.8245
16405098,-10.8186
1273016,-10.8133
20970623,-10.7765
11837938,-10.7731
3240150,-10.7707
9556131,-10.7551
9555969,-10.7253
2548450,-10.716
3126520,-10.7149
2566943,-10.7119
4781133,-10.6937
2916393,-10.6804
25102370,-10.6513
9556120,-10.6448
3291948,-10.6407
24793498,-10.6279
24817260,-10.6188
16746393,-10.6099
2530201,-10.6044
6465267,-10.5874
24687594,-10.5733
5014765,-10.57
3232131,-10.5663
6870042,-10.5467
16195640,-10.5437
5389112,-10.5244
9549536,-10.5244
25161416,-10.4994
645440,-10.4965
16746141,-10.4952
135473467,-10.4897
451417,-10.4886
1142116,-10.4775
16129527,-10.4702
24819021,-10.4684
16195681,-10.4678
9549799,-10.4638
4973481,-10.4627
16745350,-10.4598
135415463,-10.4577
2903539,-10.4567
4327876,-10.4417
16249157,-10.4327
18577642,-10.4297
1169896,-10.4261
6273781,-10.4234
16681900,-10.4092
16196612,-10.3976
3624441,-10.3913
23640940,-10.3771
5221460,-10.3704
3238926,-10.3695
1294215,-10.3654
898897,-10.3497
135521586,-10.3492
15945161,-10.3484
659350,-10.344
2449273,-10.3407
135401389,-10.3379
3220884,-10.3274
20970593,-10.3056
16191120,-10.3019
5455200,-10.296
16129553,-10.2896
9547736,-10.2843
24792584,-10.2807
24789504,-10.2787
2497154,-10.2764
16405777,-10.273
17581966,-10.2591
16196634,-10.2566
4077430,-10.2507
18579054,-10.2501
4969586,-10.2429
3552939,-10.2401
9515745,-10.2399
4346615,-10.2392
16812807,-10.2297
15945011,-10.223
6888804,-10.223
875821,-10.2229
9653410,-10.2219
11948794,-10.2204
16195686,-10.2155
1485096,-10.2047
1010771,-10.2031
1123987,-10.1883
23723223,-10.1873
6620238,-10.1795
16129546,-10.1783
3220950,-10.1746
9667425,-10.1599
9774180,-10.1584
16746230,-10.151
2915382,-10.1503
1278151,-10.1501
2859847,-10.1481
16745343,-10.1381
6887780,-10.1293
5779834,-10.1248
2327777,-10.1247
9555955,-10.1241
6889458,-10.1219
24792587,-10.1157
6030986,-10.1154
3737208,-10.1094
16195672,-10.1061
645641,-10.0988
1006280,-10.098
9564899,-10.0908
5309415,-10.0852
6217500,-10.0775
16246326,-10.077
6907378,-10.0723
135473420,-10.0711
3247256,-10.0667
24818170,-10.0603
2925444,-10.0597
9634080,-10.056
3242217,-10.0552
16295977,-10.0532
9549919,-10.0528
8031121,-10.0525
9549801,-10.0508
2983573,-10.0453
4879579,-10.0408
6237804,-10.0377
24817374,-10.0376
135466091,-10.0371
3108339,-10.0352
135439848,-10.0343
3134044,-10.0341
11948777,-10.0338
660161,-10.0329
1560103,-10.0313
2699991,-10.0298
16259838,-10.0294
3239608,-10.0266
135473454,-10.0258
24892357,-10.025
24792600,-10.0237
6903282,-10.0194
44144139,-10.014
24819989,-10.0134
23723518,-10.0124
3244026,-10.0118
3669223,-10.0096
9583772,-10.0077
1971086,-10.0063
657922,-10.0063
645201,-10.0056
5455662,-10.0052
2118873,-10.0033
3247292,-10.0028
2344974,-10.0027
25161428,-10.0023
16746560,-9.99843
16745673,-9.99396
3110269,-9.99393
1967607,-9.99152
135474672,-9.99029
3236610,-9.99004
6866659,-9.98834
1621350,-9.98813
4538890,-9.98628
25163688,-9.98351
4232856,-9.98187
3237389,-9.9811
6904559,-9.97803
2998919,-9.97539
16746591,-9.96536
135519946,-9.9645
5515040,-9.96161
20912274,-9.9589
135433301,-9.95729
23609261,-9.95566
6865043,-9.95324
3852812,-9.94756
2977648,-9.94746
24792596,-9.94744
24792632,-9.94305
18577664,-9.94267
4828774,-9.93904
24792595,-9.93796
16189852,-9.93592
2698858,-9.93119
9550466,-9.92993
4438641,-9.92793
18577649,-9.92611
135447275,-9.92383
4040443,-9.92109
16195654,-9.91769
4882010,-9.91637
12004599,-9.91578
3247268,-9.91569
4462528,-9.91512
4875302,-9.91424
20880945,-9.91399
659268,-9.91027
24978977,-9.90928
1836543,-9.90706
2884524,-9.90672
2973225,-9.90478
2125604,-9.90444
16404601,-9.90333
24980031,-9.90309
11958898,-9.90195
16187151,-9.90059
1307368,-9.90034
1462281,-9.90019
1166516,-9.89705
25102403,-9.89545
18567644,-9.89541
16289937,-9.89456
16189545,-9.89396
135464511,-9.89391
25237284,-9.89157
16745813,-9.89052
1094006,-9.88972
7694076,-9.8886
23641158,-9.88819
16189708,-9.88648
7010816,-9.88584
649881,-9.88539
2114994,-9.88457
650898,-9.88417
4329267,-9.88155
135521556,-9.88055
8034899,-9.87793
16191283,-9.87747
3239778,-9.87688
16196198,-9.87608
648866,-9.87422
9591202,-9.87417
135452820,-9.87323
16195700,-9.87235
17582654,-9.87204
6887785,-9.86874
1437913,-9.86727
4618904,-9.86721
6902062,-9.86658
5760135,-9.86282
9549644,-9.86219
16191899,-9.86029
16400143,-9.85867
9668942,-9.85653
4559992,-9.85372
16301700,-9.8532
12005240,-9.85255
20880982,-9.85201
2642268,-9.85124
2003578,-9.85119
6524509,-9.85042
2730902,-9.84857
16190479,-9.84785
16188867,-9.84718
21572796,-9.84462
16193835,-9.83789
17578322,-9.83724
6904366,-9.83562
16242270,-9.83322
2334435,-9.83118
16191168,-9.83071
3418293,-9.82859
9549989,-9.82844
3245062,-9.82781
24818020,-9.82699
4789111,-9.82614
3220857,-9.82565
5323202,-9.8238
2938401,-9.82049
2537344,-9.81995
9555994,-9.81907
16745356,-9.81871
16746026,-9.81868
2391340,-9.81851
18573338,-9.81828
646457,-9.81796
24793300,-9.81764
4178664,-9.81678
16397113,-9.81629
3231110,-9.81487
659418,-9.81412
3621465,-9.81263
2462331,-9.81171
3245712,-9.80979
16190181,-9.80932
3241119,-9.80769
16194439,-9.80702
1006298,-9.80462
16746345,-9.80371
16230214,-9.80292
2698464,-9.80202
6869533,-9.80198
25237169,-9.80037
1287395,-9.79947
661964,-9.79904
16191763,-9.79583
9587202,-9.79563
3652856,-9.79537
15994066,-9.79477
650595,-9.79392
16195689,-9.79365
2223099,-9.79237
9590056,-9.7916
16190821,-9.79107
23731318,-9.7904
2196012,-9.79038
3243506,-9.78959
646858,-9.78924
999432,-9.7866
6887696,-9.78629
1819943,-9.78545
16192385,-9.78497
16187377,-9.78419
2564901,-9.78413
24789652,-9.78365
3127473,-9.78294
12006106,-9.78267
3239847,-9.78058
16745336,-9.77986
135897151,-9.77976
135458258,-9.77641
16405898,-9.77595
1968392,-9.7756
2460449,-9.7716
16187129,-9.77094
2969203,-9.77091
2884527,-9.76655
24762008,-9.76617
5308841,-9.76611
16195786,-9.76434
3942178,-9.76417
9652250,-9.7638
18562845,-9.76288
16190109,-9.76028
20892203,-9.75995
16296016,-9.75865
135473469,-9.758
25237274,-9.75772
16682709,-9.75756
3851304,-9.75627
24789373,-9.75602
16192439,-9.75348
652852,-9.75327
16191778,-9.74951
3202633,-9.74745
2916533,-9.74694
3247308,-9.74631
135439847,-9.7461
1956408,-9.74506
9634600,-9.74475
18577571,-9.74473
3239265,-9.74407
18565390,-9.7439
23641145,-9.74302
25102738,-9.74149
15945521,-9.74144
16029883,-9.74132
2998242,-9.74129
4321479,-9.73644
24979725,-9.73585
16238482,-9.73544
16193619,-9.73415
16681973,-9.73363
3236222,-9.73274
3325323,-9.73222
5061473,-9.73035
4868739,-9.72843
3108116,-9.72793
135508325,-9.72776
3217260,-9.72646
16187125,-9.72567
664449,-9.72424
16324430,-9.72237
651710,-9.72208
1011209,-9.71952
646540,-9.71763
2385021,-9.71639
3103072,-9.71638
9549923,-9.71423
7623386,-9.71269
16194460,-9.71228
4837976,-9.71166
3747737,-9.71148
2978760,-9.71059
16190671,-9.70915
6603206,-9.7083
9587201,-9.708
24687357,-9.70725
16746385,-9.70614
3987313,-9.70569
3229890,-9.70365
5308668,-9.70297
7398210,-9.70286
5173563,-9.70102
25162925,-9.69885
16192404,-9.69868
16404547,-9.69752
6224559,-9.69655
6904822,-9.6965
17582158,-9.69608
16746055,-9.69556
24790586,-9.69459
5335869,-9.69351
16193712,-9.69245
16190791,-9.69213
4879853,-9.69211
999629,-9.69175
16190232,-9.68988
16280566,-9.68982
17393220,-9.68934
16313629,-9.68881
3108626,-9.68829
2494915,-9.68648
135406324,-9.68541
9593133,-9.68335
4134867,-9.68265
6890447,-9.68239
12005190,-9.68166
5886675,-9.67964
3243780,-9.67664
3778215,-9.67578
24982204,-9.67554
16190618,-9.67351
16194005,-9.67215
9639281,-9.67159
3228938,-9.67086
16195614,-9.67081
25161904,-9.66989
24767273,-9.66755
6469136,-9.66569
3230795,-9.6651
135486321,-9.66432
16196906,-9.66369
16746034,-9.6609
16197247,-9.65869
6603360,-9.65723
16682052,-9.65582
9550187,-9.65301
24330885,-9.65253
16682037,-9.65208
5478883,-9.65069
1936911,-9.64981
16129560,-9.64951
4606765,-9.64904
3238749,-9.6455
4879538,-9.6439
16745691,-9.64324
16573278,-9.64147
24817010,-9.63914
1191314,-9.63907
2464852,-9.63883
25161414,-9.63684
6402388,-9.63658
3220947,-9.6357
135886809,-9.63527
3244940,-9.63517
7097319,-9.63328
6904070,-9.63294
135432436,-9.63173
5741945,-9.62941
17578350,-9.62343
3220894,-9.62306
6868133,-9.62287
54687592,-9.62248
2998602,-9.6224
9555971,-9.62202
24789974,-9.62013
2848217,-9.61849
135510988,-9.61808
1146170,-9.61763
1152638,-9.61707
16192171,-9.61659
16745475,-9.61531
1967013,-9.61369
24816492,-9.61322
3715874,-9.61255
5115564,-9.61146
135472440,-9.61027
1938572,-9.60895
2929679,-9.60851
16681936,-9.60727
5736528,-9.60718
135521581,-9.60558
2524579,-9.60493
24791589,-9.60471
1075628,-9.60471
24819138,-9.60415
6917323,-9.60381
1445050,-9.60364
22578920,-9.60235
160364,-9.6018
135473412,-9.60146
20893830,-9.60092
5731018,-9.60083
18582854,-9.60048
6883120,-9.5996
16190887,-9.59947
2971785,-9.59935
3972218,-9.59797
135460626,-9.59671
4968608,-9.59585
1620267,-9.59578
16190462,-9.59572
24817712,-9.59467
2983795,-9.59437
135521457,-9.59363
20970558,-9.59291
2795973,-9.59274
18562850,-9.59269
16317180,-9.59184
20891996,-9.58959
647188,-9.58858
1050350,-9.58854
16197069,-9.58828
15557555,-9.58816
755483,-9.58811
24791207,-9.58649
9564307,-9.58551
135745098,-9.58243
20912343,-9.58091
25161499,-9.58042
2237485,-9.5794
16195594,-9.579
2443544,-9.57805
5293010,-9.57759
6623731,-9.57677
3247101,-9.57638
20860398,-9.57531
16193610,-9.57483
24789482,-9.57436
16245357,-9.57395
9633140,-9.57269
2938460,-9.57266
5446512,-9.57195
3147386,-9.57174
5993604,-9.57141
663455,-9.57112
4601866,-9.5703
25237264,-9.56953
2475133,-9.56953
3243789,-9.56929
1929332,-9.56778
25162651,-9.56561
24982184,-9.56349
9046923,-9.56347
16237217,-9.56294
16187677,-9.56257
2982947,-9.56224
4266456,-9.56189
6905030,-9.56055
2463526,-9.55753
16129541,-9.55719
16264564,-9.55607
24979158,-9.55511
5312126,-9.55499
664890,-9.554
5770969,-9.55393
1003792,-9.55385
20899444,-9.55302
4214077,-9.55163
5461332,-9.55132
20919686,-9.54918
20880998,-9.54911
6147798,-9.549
16192176,-9.54833
3239519,-9.54817
6043210,-9.54817
71478,-9.54806
135802828,-9.54732
9547750,-9.54722
2857240,-9.54591
2981258,-9.54586
767164,-9.54578
24790796,-9.54571
2967278,-9.54506
3386822,-9.54443
135435334,-9.54355
3240347,-9.54314
16681941,-9.54307
644930,-9.5429
16402447,-9.54138
5217111,-9.54048
23641126,-9.54009
16190444,-9.53957
18578801,-9.53952
5309240,-9.53936
25237190,-9.53887
24816487,-9.5383
16187568,-9.53714
2880767,-9.53641
16022536,-9.53597
3898570,-9.5357
4614575,-9.53536
16193373,-9.53517
16196085,-9.53514
5334383,-9.53328
1437917,-9.53186
24789364,-9.52979
6622104,-9.52895
6887638,-9.52877
24792594,-9.5279
24817940,-9.52628
1438301,-9.52478
3319900,-9.52376
2439413,-9.52211
1447358,-9.52139
135460537,-9.51979
12213410,-9.51773
18774285,-9.51722
9654062,-9.51538
5309432,-9.5145
1566198,-9.5129
3227459,-9.51082
6579165,-9.51027
16404937,-9.50769
2530041,-9.50742
2570137,-9.50726
2540862,-9.50724
16681904,-9.50697
135410393,-9.50647
16197125,-9.50637
6869958,-9.50625
2728806,-9.50616
135452349,-9.50597
3246744,-9.5046
6865028,-9.50378
2982231,-9.50326
654035,-9.5032
2360361,-9.50221
660211,-9.50149
12990547,-9.50085
24817692,-9.50032
16188232,-9.50011
2344827,-9.49932
3247314,-9.4983
654197,-9.49783
3561907,-9.49774
1344686,-9.49769
2462422,-9.4974
2514968,-9.49682
135544851,-9.4962
2876582,-9.4962
3235732,-9.49558
16406361,-9.4953
16330572,-9.49502
16311735,-9.49478
24816797,-9.4933
4875319,-9.49239
2579867,-9.4921
652087,-9.49068
4900490,-9.49049
3546681,-9.48824
25102739,-9.48692
3243517,-9.48607
2981294,-9.48595
2962555,-9.48442
2207359,-9.48235
6881879,-9.48226
1191881,-9.48187
24819468,-9.48105
2452272,-9.47955
5073166,-9.47938
1095335,-9.47934
3374374,-9.47905
12005692,-9.47838
1262402,-9.47723
2924013,-9.47487
3241171,-9.4746
4968200,-9.47423
7677745,-9.47395
6905353,-9.47304
25163612,-9.47247
16188151,-9.47242
9560074,-9.4724
1997460,-9.47208
20891904,-9.47173
5517829,-9.4714
16187139,-9.47073
16192761,-9.47006
9550878,-9.46872
5162201,-9.46832
135485173,-9.46782
5309960,-9.46771
9610693,-9.46759
2571798,-9.46733
16194307,-9.46622
2892419,-9.46616
2078122,-9.46603
2943853,-9.46528
2557297,-9.46411
1113983,-9.46287
3965881,-9.46251
54688245,-9.46132
9600786,-9.46126
9653584,-9.46099
2823560,-9.46097
2999893,-9.45998
2815278,-9.45956
25237195,-9.45901
135616141,-9.45887
3110271,-9.45878
2950755,-9.45789
9635453,-9.45771
24817063,-9.45728
15945536,-9.45688
135420789,-9.4568
653489,-9.45571
9549848,-9.45541
16191131,-9.45539
16304189,-9.45516
655630,-9.45496
1486459,-9.45474
24686174,-9.45455
6902055,-9.45438
3643898,-9.45345
2434116,-9.45016
644964,-9.4501
663340,-9.44836
3220735,-9.44819
654067,-9.44741
16191044,-9.44729
25237255,-9.44703
6876234,-9.44676
5778982,-9.44597
6862973,-9.44567
9551993,-9.4437
9560390,-9.44163
1626916,-9.44074
5124457,-9.44049
16188037,-9.44038
16194911,-9.43983
15988070,-9.43947
3238430,-9.43886
4815095,-9.43845
664830,-9.43803
1991419,-9.43793
5732342,-9.43643
9566140,-9.43591
16231290,-9.43454
24790360,-9.43434
4974442,-9.43393
1284169,-9.4339
16282151,-9.433
135460618,-9.43244
5461857,-9.43104
16295928,-9.43059
3567169,-9.42968
22331912,-9.42943
16193343,-9.42897
4833747,-9.42864
5323245,-9.42861
3220729,-9.42852
2108961,-9.42838
5517699,-9.42806
16830099,-9.42687
16194953,-9.42662
16257581,-9.42644
1604452,-9.42572
16681891,-9.42562
16293875,-9.42539
2856987,-9.42427
17581975,-9.42417
57338,-9.42412
3105194,-9.42273
9884029,-9.42
4886719,-9.41973
46372124,-9.41859
24819332,-9.41841
4840816,-9.41793
650373,-9.41757
16192494,-9.41755
6887581,-9.41754
20940313,-9.4175
3244596,-9.41702
7292917,-9.41642
16193113,-9.41603
46372120,-9.41568
135915050,-9.41484
16191566,-9.41471
2152251,-9.41348
135519960,-9.41308
24982003,-9.41272
647671,-9.41261
16190683,-9.41254
3572108,-9.41142
24891794,-9.41077
651984,-9.41058
24892421,-9.41033
4904868,-9.41022
6616590,-9.40923
4368841,-9.40922
16190421,-9.40919
2294457,-9.40915
1998397,-9.40812
24816525,-9.40698
2932750,-9.40674
654693,-9.40645
6881310,-9.40641
1980790,-9.40561
3244549,-9.40468
649680,-9.40399
24686328,-9.40395
16324723,-9.40364
24979110,-9.40323
9566914,-9.40264
16190161,-9.40207
3237832,-9.40198
3220736,-9.40194
2958193,-9.40174
4262693,-9.40149
2385052,-9.40125
5348563,-9.40093
24747725,-9.40051
5186827,-9.39972
1629837,-9.39923
24791512,-9.39899
16189859,-9.39841
9551394,-9.39835
1859085,-9.39834
4880556,-9.398
16190682,-9.39687
2795649,-9.39467
588601,-9.39171
24978797,-9.39147
1618396,-9.39067
135472945,-9.3901
3244796,-9.38947
135681154,-9.38864
16746317,-9.38786
9633459,-9.38718
16193752,-9.38707
6602968,-9.38676
1263771,-9.38628
18573387,-9.38625
3910483,-9.38575
20883571,-9.38572
2348971,-9.38569
24819313,-9.38557
135450217,-9.3855
3202684,-9.38479
2995595,-9.38156
3239165,-9.38075
2282235,-9.37947
16245480,-9.37858
6887793,-9.37817
1462669,-9.37753
3230440,-9.37703
3241141,-9.37702
2541006,-9.37681
16193236,-9.37616
2034497,-9.37615
20956960,-9.37503
1854674,-9.37501
3174536,-9.37436
54723343,-9.3743
24793334,-9.37397
16301458,-9.37371
2698946,-9.37363
4143934,-9.37358
20919711,-9.37334
9171785,-9.37327
16190449,-9.37325
24980187,-9.37276
1287724,-9.37244
1294797,-9.37239
135519954,-9.37233
5334091,-9.37225
24817459,-9.37212
23723816,-9.37138
4663461,-9.37123
2157933,-9.37051
3470481,-9.36979
16194305,-9.36977
16682058,-9.36966
5309840,-9.36923
1829273,-9.36912
16746424,-9.36858
2959819,-9.36835
12005242,-9.36808
24978719,-9.36732
3763044,-9.36705
3238049,-9.36688
16190039,-9.3666
20893492,-9.36505
4069436,-9.3638
4624851,-9.36378
16191498,-9.36326
646879,-9.36299
4649066,-9.36293
24762121,-9.36242
2472656,-9.36159
609935,-9.36148
2348290,-9.36125
3228953,-9.36108
650080,-9.3606
24791868,-9.36028
24790411,-9.36027
24818111,-9.35927
3244417,-9.35913
16237072,-9.35891
16190272,-9.35825
6416305,-9.35767
5308577,-9.35757
6900173,-9.35669
2533203,-9.35581
20860447,-9.35543
2810025,-9.3552
135450638,-9.35483
44141993,-9.35445
3237072,-9.35434
20891930,-9.35324
16187290,-9.35304
5066105,-9.35298
2500219,-9.35222
2971954,-9.35199
1075976,-9.35188
16332627,-9.35113
16809764,-9.35102
653039,-9.35075
2884848,-9.35058
6888786,-9.35042
18578512,-9.35027
16023144,-9.34973
2442610,-9.34731
16306013,-9.3472
26871410,-9.34629
6603931,-9.34622
135415414,-9.34621
4177414,-9.3462
18562868,-9.34599
16402147,-9.34596
12005359,-9.34582
25162348,-9.34468
3220850,-9.3442
1621141,-9.34368
2937667,-9.34359
24790391,-9.34316
9551889,-9.34271
2927348,-9.34243
3533896,-9.34239
16746372,-9.34142
2521855,-9.34115
11957300,-9.34089
2591248,-9.34082
3325080,-9.34067
2468597,-9.3403
4972380,-9.34003
3220756,-9.34002
16746165,-9.3394
16344220,-9.33907
24790852,-9.33881
1924681,-9.33873
135401497,-9.33863
2903374,-9.33846
2169083,-9.33787
135413721,-9.33764
2432780,-9.3359
16745645,-9.33532
2362369,-9.33531
20881207,-9.33455
3147155,-9.33452
9114749,-9.33421
5012194,-9.33411
5191508,-9.33265
24819361,-9.33189
9617855,-9.33056
54692915,-9.32956
8027993,-9.32777
3793,-9.32712
1169784,-9.32703
667385,-9.32661
4837634,-9.32606
4608932,-9.32574
24818007,-9.32563
6895242,-9.32556
24746986,-9.32477
4901497,-9.32379
1904843,-9.32373
3937443,-9.32365
2699085,-9.32334
4838062,-9.32283
6669168,-9.32277
1830409,-9.3223
53313,-9.32196
16682015,-9.32161
16190090,-9.32115
24790081,-9.32066
3227179,-9.32061
1829558,-9.32056
9467029,-9.31975
650120,-9.3197
3271558,-9.31944
5461643,-9.31841
2053132,-9.31831
1475713,-9.31818
2498201,-9.31812
6882958,-9.31726
18559510,-9.31694
135517040,-9.31672
654055,-9.31659
5980332,-9.31566
24792558,-9.31563
2813648,-9.31508
16681959,-9.31481
6874358,-9.31409
666713,-9.31388
1506080,-9.31315
12006004,-9.31276
650695,-9.31255
2998362,-9.31126
8034795,-9.31111
661543,-9.31037
1872699,-9.31011
5308011,-9.30986
1152616,-9.30985
2165597,-9.30933
24791426,-9.30893
7336695,-9.3083
15944696,-9.30757
2459075,-9.30688
2851556,-9.30576
6603048,-9.30515
1977047,-9.30512
654239,-9.30482
24817008,-9.30473
3323819,-9.30283
23723737,-9.30236
1829496,-9.30227
3240060,-9.30206
2382578,-9.30198
22588439,-9.30158
3238635,-9.30128
2016176,-9.30122
1883114,-9.30043
5999832,-9.30009
2318529,-9.29985
1187786,-9.2997
2998968,-9.29955
12005253,-9.29948
4155327,-9.299
9658878,-9.29894
135470622,-9.29801
3745691,-9.29781
9566509,-9.2963
2907678,-9.29613
2565517,-9.29529
6872919,-9.29496
135472701,-9.29493
19289050,-9.29456
2832588,-9.29447
4886764,-9.29402
2234300,-9.29398
24979430,-9.29358
16194269,-9.2934
12004890,-9.29284
44144163,-9.29256
16681912,-9.29168
16129536,-9.28952
16189447,-9.28937
16193503,-9.28922
135520026,-9.28865
2687842,-9.28863
1969153,-9.28844
656131,-9.28807
1005161,-9.288
1766005,-9.28747
9549494,-9.28737
23724314,-9.28691
17202218,-9.28636
1140896,-9.28632
15944924,-9.28534
5323239,-9.28525
23723504,-9.28517
2973138,-9.28467
3575373,-9.2846
15945018,-9.28352
16191900,-9.28342
4899464,-9.28318
15945629,-9.28311
6899059,-9.28298
1619027,-9.28184
135829863,-9.28164
9638457,-9.2816
3243717,-9.28084
135460448,-9.27919
16191081,-9.2783
16306652,-9.27823
973903,-9.27818
24892686,-9.27808
3608938,-9.27791
6225403,-9.27767
3241689,-9.27723
678269,-9.27638
4444649,-9.27618
1296249,-9.27507
24892317,-9.27455
24817809,-9.27419
5553820,-9.27415
24817150,-9.27401
24981847,-9.27379
9567456,-9.27252
20860391,-9.27246
9608382,-9.27245
4158041,-9.27078
5004465,-9.26953
24983110,-9.26771
9550188,-9.26762
16275078,-9.26759
1016499,-9.26722
16191032,-9.26647
16746369,-9.26612
16195678,-9.26603
16808102,-9.26575
1450430,-9.26497
2980686,-9.26448
5308373,-9.264
9550997,-9.26395
4885570,-9.26297
16746213,-9.26282
649617,-9.26265
4144427,-9.26258
4989567,-9.26016
24978578,-9.26007
16367240,-9.25914
6668464,-9.25906
18578709,-9.25822
744478,-9.25738
652572,-9.25732
1445052,-9.2567
3182261,-9.25661
1908177,-9.25464
16681892,-9.25458
16265471,-9.25418
4841079,-9.25367
24816488,-9.25322
24794059,-9.25233
5307475,-9.25201
5308681,-9.25189
5307965,-9.25177
20919634,-9.25138
6311689,-9.25069
16746088,-9.25041
1764811,-9.25017
1314679,-9.24948
135512160,-9.2494
2967128,-9.24913
3238032,-9.24895
5058219,-9.24878
15988074,-9.24871
4840164,-9.24821
1169895,-9.24817
3107993,-9.2481
23731338,-9.24765
24790387,-9.24754
